outer_fold_id,model_id,candidate_index,parameter_sha256,parameter_json,status,failure,inner_folds,inner_rows,inner_mae,inner_crps,inner_b1_mae,transition_rows,transition_mae,transition_b1_mae,transition_guardrail_status,probabilistic_mae_guardrail_passed,probabilistic_score_available,eligible,selected,selection_status,median_effective_iterations
rolling_origin_2021-05-18,Z02_huber,0,d6717d8b188d7c68678c2752a863ae6f97b1bfcf716adf066af59526763c26c7,"{""alpha"":0.0001,""epsilon"":1.1}",COMPLETE,,3,111,7.507082708823259,,6.521251593714805,29,13.138524430368692,9.563718964395301,FAIL_TRANSITION_GUARDRAIL,True,True,False,False,NOT_SELECTED,
rolling_origin_2021-05-18,Z02_huber,1,73c982c1a83eecbdb071e37d9ed54c4dfd5e6cc526bb39d0eb2e184a6354b98f,"{""alpha"":0.0001,""epsilon"":1.35}",COMPLETE,,3,111,7.5903089591844335,,6.521251593714805,29,12.874945039773664,9.563718964395301,FAIL_TRANSITION_GUARDRAIL,True,True,False,False,NOT_SELECTED,
rolling_origin_2021-05-18,Z02_huber,2,ed0a654a34db99aa5260e61e8031319c343ab11625c46e910536df0a8c6c5b52,"{""alpha"":0.0001,""epsilon"":1.75}",COMPLETE,,3,111,7.639940032574306,,6.521251593714805,29,12.149604644701784,9.563718964395301,FAIL_TRANSITION_GUARDRAIL,True,True,False,False,NOT_SELECTED,
rolling_origin_2021-05-18,Z02_huber,3,fb3a9fb65b57b59bd4a8553f7556ff926060b682bfb6d359d98b8c365ca7cf6b,"{""alpha"":0.01,""epsilon"":1.1}",COMPLETE,,3,111,7.472967713610078,,6.521251593714805,29,12.983075617627039,9.563718964395301,FAIL_TRANSITION_GUARDRAIL,True,True,False,False,NOT_SELECTED,
rolling_origin_2021-05-18,Z02_huber,4,0d89f3f161abf498b3f5a428ac709b10041a34605d4894a2c3f850339a7117d1,"{""alpha"":0.01,""epsilon"":1.35}",COMPLETE,,3,111,7.570560039380866,,6.521251593714805,29,12.550153179599494,9.563718964395301,FAIL_TRANSITION_GUARDRAIL,True,True,False,False,NOT_SELECTED,
rolling_origin_2021-05-18,Z02_huber,5,2004b7dba2c1192aa850a15fda47af4932c45a128d952716c67fa02b5a022532,"{""alpha"":0.01,""epsilon"":1.75}",COMPLETE,,3,111,7.605729400408242,,6.521251593714805,29,11.85193704604644,9.563718964395301,FAIL_TRANSITION_GUARDRAIL,True,True,False,False,NOT_SELECTED,
rolling_origin_2021-05-18,Z02_huber,6,ef44a1c0859cd8df5a2dce9405a9e7cde23a6a930fbe5f844bcd5ccc985c3edf,"{""alpha"":1.0,""epsilon"":1.1}",COMPLETE,,3,111,6.296773784762106,,6.521251593714805,29,9.594405615629235,9.563718964395301,PASS,True,True,True,True,SELECTED_PREREGISTERED_GUARDRAILS_PASS,
rolling_origin_2021-05-18,Z02_huber,7,d868d3dc58980c321b1f93abe49f23829445327ca0bc2ed40bce93977ac2c0d3,"{""alpha"":1.0,""epsilon"":1.35}",COMPLETE,,3,111,6.650132105679028,,6.521251593714805,29,9.840441420647325,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,
rolling_origin_2021-05-18,Z02_huber,8,5e1179405b1e81d833b4a93ca53c33dc971f4fca709e309e403ca41fafa8209e,"{""alpha"":1.0,""epsilon"":1.75}",COMPLETE,,3,111,6.481227029493095,,6.521251593714805,29,9.284079674341852,9.563718964395301,PASS,True,True,True,False,NOT_SELECTED,
rolling_origin_2021-07-13,Z02_huber,0,d6717d8b188d7c68678c2752a863ae6f97b1bfcf716adf066af59526763c26c7,"{""alpha"":0.0001,""epsilon"":1.1}",COMPLETE,,3,180,6.130067148670405,,5.3463586566178165,45,8.889872272747455,7.405224533824608,FAIL_TRANSITION_GUARDRAIL,True,True,False,False,NOT_SELECTED,
rolling_origin_2021-07-13,Z02_huber,1,73c982c1a83eecbdb071e37d9ed54c4dfd5e6cc526bb39d0eb2e184a6354b98f,"{""alpha"":0.0001,""epsilon"":1.35}",COMPLETE,,3,180,5.950462978576941,,5.3463586566178165,45,8.433297123846245,7.405224533824608,FAIL_TRANSITION_GUARDRAIL,True,True,False,False,NOT_SELECTED,
rolling_origin_2021-07-13,Z02_huber,2,ed0a654a34db99aa5260e61e8031319c343ab11625c46e910536df0a8c6c5b52,"{""alpha"":0.0001,""epsilon"":1.75}",COMPLETE,,3,180,5.7312168333436455,,5.3463586566178165,45,7.667267154996533,7.405224533824608,PASS,True,True,True,False,NOT_SELECTED,
